"Sub-Brand","Sub-Brand"
"Series Name","Series Name"
"Type","Type"
"Handle Material","Handle Material"
"Handle Length","Handle Length"
"Head Weight","Head Weight"
"Claw Style","Claw Style"
"Face","Face"
"Cushioned Grip","Cushioned Grip"
"Handle Style","Handle Style"
"Head Material","Head Material"
"Warranty","Warranty"
"Magnetic","Magnetic"
"UNSPSC","UNSPSC"
"Collection Name","Collection Name"
"Fan Diameter","Fan Diameter"
"Downrod Length","Downrod Length"
"Number of Blades","Number of Blades"
"Reversible Blades","Reversible Blades"
"Blade Finish","Blade Finish"
"Blade Color","Blade Color"
"Housing Color/Finish","Housing Color/Finish"
"Light Kit","Light Kit"
"Number of Bulbs Required","Number of Bulbs Required"
"Number of Lights","Number of Lights"
"Light Bulb Base Type","Light Bulb Base Type"
"Recommended Light Bulb Shape","Recommended Light Bulb Shape"
"Maximum Bulb Wattage","Maximum Bulb Wattage"
"Bulb Type","Bulb Type"
"Remote Control Included","Remote Control Included"
"High Speed Electricity Use","High Speed Electricity Use"
"Mounting Options","Mounting Options"
"Reverse Air Flow","Reverse Air Flow"
"Motor Type","Motor Type"
"Angle Mount Capable","Angle Mount Capable"
"Dual Fan Heads","Dual Fan Heads"
"Wattage Equivalent","Wattage Equivalent"
"UL Safety Listing","UL Safety Listing"
"CSA Safety Listing","CSA Safety Listing"
"ETL Safety Listing","ETL Safety Listing"
"Lowe's Exclusive","Lowe's Exclusive"
"Remote Control","Remote Control"
"Package Quantity","Package Quantity"
"Light Kit Type","Light Kit Type"
"Commercial/Residential","Commercial/Residential"
"ENERGY STAR Certified","ENERGY STAR Certified"
"Airflow","Airflow"
"App Compatibility","App Compatibility"
"Bluetooth Compatibility","Bluetooth Compatibility"
"Voice Controlled","Voice Controlled"
"Wi-Fi Compatibility","Wi-Fi Compatibility"
"Works with Amazon Alexa","Works with Amazon Alexa"
"Works with Android","Works with Android"
"Works with Apple HomeKit","Works with Apple HomeKit"
"Works with the Google Assistant","Works with the Google Assistant"
"Works with Nest","Works with Nest"
"Works with SmartThings","Works with SmartThings"
"Works with iOS","Works with iOS"
"Maximum Height","Maximum Height"
"Minimum Height","Minimum Height"
"Number of Speeds","Number of Speeds"
"Fixture Finish","Fixture Finish"
"Glass Type","Glass Type"
"Shade Material","Shade Material"
"Indoor/Outdoor","Indoor/Outdoor"
"Bulb Installation Type","Bulb Installation Type"
"Style","Style"
"Outdoor Usage Rating","Outdoor Usage Rating"
"Fixture Color Family","Fixture Color Family"
"For Use in Bathrooms","For Use in Bathrooms"
"Oscillating","Oscillating"
"Suggested Room Size","Suggested Room Size"
"For Use in Bedrooms","For Use in Bedrooms"
"For Use in Dining Rooms","For Use in Dining Rooms"
"For Use in Kitchens","For Use in Kitchens"
"For Use in Living Rooms","For Use in Living Rooms"
"Frosted Glass","Frosted Glass"
"Blade Finish","Blade Finish"
"Blade Color","Blade Color"
"Housing Color/Finish","Housing Color/Finish"
"Light Kit","Light Kit"
"Number of Bulbs Required","Number of Bulbs Required"
"Number of Lights","Number of Lights"
"Light Bulb Base Type","Light Bulb Base Type"
"Recommended Light Bulb Shape","Recommended Light Bulb Shape"
"Maximum Bulb Wattage","Maximum Bulb Wattage"
"High Speed Electricity Use","High Speed Electricity Use"
"Mounting Options","Mounting Options"
"Reverse Air Flow","Reverse Air Flow"
"Motor Type","Motor Type"
"Angle Mount Capable","Angle Mount Capable"
"Dual Fan Heads","Dual Fan Heads"
"Wattage Equivalent","Wattage Equivalent"
"Light Kit Type","Light Kit Type"
"Airflow","Airflow"
"Number of Speeds","Number of Speeds"
"Glass Type","Glass Type"
"Shade Material","Shade Material"
"Outdoor Usage Rating","Outdoor Usage Rating"
"For Use in Bathrooms","For Use in Bathrooms"
"Suggested Room Size","Suggested Room Size"
"Bulb Installation Type","Bulb Installation Type"
"For Use in Bedrooms","For Use in Bedrooms"
"For Use in Dining Rooms","For Use in Dining Rooms"
"For Use in Kitchens","For Use in Kitchens"
"For Use in Living Rooms","For Use in Living Rooms"
"Frosted Glass","Frosted Glass"
"Oscillating","Oscillating"
"Blade Finish","Blade Finish"
"Blade Color","Blade Color"
